id,title,price
234325,Honda Accord,974438.65
234326,GMC Sierra 1500 Regular Cab,964376.58
234327,GMC Sierra 2500 HD Crew Cab,776177.06
234328,Chevrolet Bolt EV,884675.51
234329,Ford Transit 250 Van,325213.65
234330,GMC Acadia,736982.74
234331,Mercury Mountaineer,130638.38
234332,Subaru Legacy,957585.62
234333,FIAT 500 Abarth,371895.02
234334,Toyota Corolla,521046.07
234335,Mitsubishi 3000GT,930106.94
234336,Lincoln Aviator,643818.52
234337,Cadillac DeVille,467966.61
234338,Buick LaCrosse,441479.79
234339,GMC 3500 Regular Cab,953350.01
234340,Ford Expedition,692192.15
234341,FIAT 500,256283.5
234342,Volvo V70,212500.12
234343,Hyundai Genesis,298928.15
234344,GMC Sierra 3500 HD Regular Cab,486571.35
234345,Honda Insight,379883.2
234346,Ford E150 Passenger,75291.43
234347,BMW X5,17146.98
234348,Chevrolet Silverado 3500 Regular Cab,941944.82
234349,Audi S8,284554.47
234350,Ford Explorer,722867.78
234351,Chevrolet Traverse,516142.86
234352,BMW 4 Series,792436.38
234353,INFINITI I,302442.31
234354,GMC Savana 1500 Passenger,743774.32
234355,GMC 2500 Club Coupe,203928.12
234356,Mercedes-Benz E-Class,87675.64
234357,Honda Civic,791448.72
234358,Toyota 4Runner,527166.28
234359,Chevrolet Silverado 3500 HD Regular Cab,227793.95
234360,Nissan Maxima,111488.15
234361,Chevrolet Suburban 1500,479402.04
234362,GMC Savana 2500 Cargo,711481.88
234363,Ford Freestyle,211560.63
234364,Chevrolet Silverado 2500 HD Extended Cab,48623.61
234365,Dodge Ram 1500 Mega Cab,857284.45
234366,GMC 1500 Regular Cab,359457.02
234367,Ford Edge,700613.25
234368,Jeep Patriot,202742.9
234369,Kia Forte5,581014.05
234370,GMC Sierra 3500 Regular Cab,96786.59
234371,Toyota Tercel,793341.94
234372,GMC Savana 3500 Cargo,311356.16
234373,Buick LaCrosse,541993.19
234374,Chevrolet Malibu (Classic),26993.19
234375,Dodge Grand Caravan Passenger,218177.53
234376,Subaru Outback,636098.28
234377,Dodge Durango,304418.03
234378,Dodge Ram 2500 Regular Cab,394194.32
234379,McLaren 720S,918765.55
234380,Chevrolet Astro Passenger,862426.34
234381,Toyota Prius c,182269.21
234382,Nissan Frontier Crew Cab,323762.77
234383,Lincoln Navigator,874819.96
234384,Ford Mustang,854196.14
234385,Chevrolet Silverado 2500 HD Double Cab,491149.49
234386,Cadillac CT6,934763.98
234387,Toyota Avalon,373462.1
234388,Chrysler Concorde,113314.41
234389,Daewoo Nubira,324087.15
234390,Ford Transit Connect Passenger,408205.16
234391,Ford Fusion,205435.4
234392,Ford F250 Regular Cab,957411.01
234393,Pontiac Aztek,437740.33
234394,Pontiac Firebird,434704.23
234395,Mercedes-Benz CLS-Class,459149.79
234396,Audi A4,813400.43
234397,Saab 5-Sep,982022.74
234398,Chrysler Town & Country,353732.13
234399,Chevrolet 1500 Extended Cab,124570.16
234400,BMW 5 Series,618796.13
234401,Plymouth Neon,136449.61
234402,Isuzu Trooper,525334.37
234403,GMC Sierra 1500 Regular Cab,726916.71
234404,Kia Optima,158375.3
234405,Scion tC,566159.92
234406,Dodge Challenger,397741.39
234407,Ford Crown Victoria,265810.06
234408,Chevrolet Express 1500 Cargo,243294.23
234409,Ford Mustang,874781.0
234410,Mercury Marauder,286464.94
234411,Chevrolet Equinox,441378.6
234412,Buick Enclave,509962.59
234413,Volkswagen Eos,858053.42
234414,Ferrari F12berlinetta,992569.64
234415,Dodge Avenger,180910.75
234416,Honda Prelude,149009.8
234417,GMC Canyon Crew Cab,371062.13
234418,Chevrolet Silverado 1500 Crew Cab,113111.99
234419,Chevrolet Cobalt,900529.43
234420,Nissan Armada,954688.04
234421,GMC Sonoma Club Cab,245599.77
234422,Toyota Tundra Double Cab,943851.9
234423,Volkswagen GTI,641052.02
234424,Porsche Cayman,484242.79
